Dept,Division,Course,Last Name,Term,Year,INS1,INS2,INS3,INS4,INS5,INS6,ARTSC1,ARTSC2,ARTSC3,Number Invited,Number Responses,Course Code
AFR,ARTSC,Africa 21st Century AFR250Y1-Y-LEC0101,B,Winter,2024,4.8,4.9,4.9,4.9,5,4.9,4.8,3.2,4.8,37,18,AFR250Y1
AFR,ARTSC,African Sys Thought AFR351Y1-Y-LEC0101,F,Winter,2024,4.6,4.6,4.8,4.7,4.7,4.4,4.8,3,4.7,24,9,AFR351Y1
AFR,ARTSC,Intr African Studies AFR150Y1-Y-LEC0101,B,Winter,2024,4.6,4.8,4.9,4.6,4.7,4.7,4.8,2.7,4.6,34,10,AFR150Y1
AFR,ARTSC,Introductory Swahili AFR280Y1-Y-LEC0101,D,Winter,2024,4.4,4.4,4.4,4.5,4.4,4.5,4.5,2.9,5,38,10,AFR280Y1
AFR,ARTSC,Peacebuilding in Africa AFR455H1-S-LEC0101,B,Winter,2024,4.9,4.8,5,4.8,4.9,5,5,3.3,5,23,11,AFR455H1
