Department,Division,Course Name,Last Name,Term,Year,INS1,INS2,INS3,INS4,INS5,INS6,APSC001,APSC002,APSC003,APSC004,APSC005,APSC006,APSC007,APSC008,Number Invited,Number Responses,Response Ratio,Course Code
AE1,APSC,FUNDAMENT.OF COMPUT.  APS106H1-F-LEC0101,Kinsella,Summer,2024,4.5,4.4,4.6,4.3,4,4.2,4.2,4.4,3.3,3.8,3.9,4.4,4.6,,59,21,35.6,APS106H1
AE1,APSC,CALCULUS 2  MAT187H1-F-LEC0101,Kerr,Summer,2024,4.4,4.6,4.8,4.6,4.6,4.7,4.5,4.1,2.9,3.8,3.8,4.8,4.8,,82,37,45.1,MAT187H1
AE1,APSC,DYNAMICS  MIE100H1-F-LEC0101,Jazinizadeh,Summer,2024,4.5,4.4,4.8,4.2,4.2,4.3,4.1,4.6,3.5,4.3,3.8,4.7,4.7,,87,33,37.9,MIE100H1
AE1,APSC,CALCULUS FOR ENGINEERS I APS162H1-S-LEC0101,Kerr,Summer,2024,3.9,4.1,4.2,4.3,4.4,3.8,4,3.7,3.3,3.3,3.4,4.3,4.3,,135,56,41.5,APS162H1
AE1,APSC,INTRO CHEM MATLS PERSPECTIVE APS164H1-S-LEC0101,Ramsay,Summer,2024,4.2,4.3,4.4,3.7,3.9,3.9,3.6,4.6,3,3.6,2.9,4.3,4.4,,82,35,42.7,APS164H1
AE1,APSC,APP. LINEAR ALGEBRA MAT188H1-S-LEC0101,Uppal,Winter,2024,4.4,4.4,4.4,4.3,4.1,4.2,4.1,3.4,2.7,3.4,3.8,4.3,4.3,,50,18,36,MAT188H1
AE1,APSC,CALCULUS 1 MAT186H1-S-LEC0101,Cohen,Winter,2024,4.3,4.3,4.4,3.6,3.7,3.7,4.1,4.2,3.1,4.3,3.4,4.3,4.1,,70,27,38.6,MAT186H1
AE1,APSC,CALCULUS 1 MAT186H1-S-LEC0102,Cohen,Winter,2024,4.3,4.3,4.7,3.9,4,4.4,4.2,5,2.9,4.5,4.3,4.5,4.3,,36,10,27.8,MAT186H1
AE1,APSC,CALCULUS 2 MAT187H1-S-LEC0101,McGregor,Winter,2024,4.4,4.4,4.6,4.2,4.1,4.1,4.2,4.2,3.6,4.1,3.7,4.4,4.5,,272,130,47.8,MAT187H1
AE1,APSC,CALCULUS 2 MAT187H1-S-LEC0101,Parsch,Winter,2024,4.4,4.4,4.6,4.2,4.1,4.1,4.2,4.3,3.6,4.2,3.7,4.4,4.5,,272,130,47.8,MAT187H1
AE1,APSC,CALCULUS 2 MAT187H1-S-LEC0102,Cohen,Winter,2024,4.3,4.4,4.2,4,4,3.9,4.2,4.4,3.6,4.3,3.5,4.2,4.1,,300,108,36,MAT187H1
AE1,APSC,CALCULUS 2 MAT187H1-S-LEC0103,Mandelis,Winter,2024,3.9,4,3,3.9,3.9,3.4,3.8,3.7,3.5,3.6,3.4,3.4,3.1,,351,125,35.6,MAT187H1
AE1,APSC,COMPUTER FUNDAMENTAL APS105H1-S-LEC0101,Emara,Winter,2024,4.4,4.6,4.8,4.5,4.5,4.5,4.5,4.4,3.4,4.2,3.9,4.7,4.8,,126,52,41.3,APS105H1
