Department,Division,Course Name,Last Name,Term,Year,INS1,INS2,INS3,INS4,INS5,INS6,APSC001,APSC002,APSC003,APSC004,APSC005,APSC006,APSC007,APSC008,Number Invited,Number Responses,Response Ratio,Course Code
AE1,APSC,COMPUTER FUNDAMENTAL APS105H1-S-LEC0102,Emara,Winter,2024,4.3,4.5,4.7,4.3,4.4,4.2,4.5,4.3,3.4,4,3.5,4.6,4.8,,158,67,42.4,APS105H1
AE1,APSC,COMPUTER FUNDAMENTAL APS105H1-S-LEC0103,Eyolfson,Winter,2024,4.4,4.4,4.5,4.4,4.3,4.2,4.3,4.3,3.4,4.2,3.6,4.5,4.6,,129,37,28.7,APS105H1
AE1,APSC,COMPUTER FUNDAMENTAL APS105H1-S-LEC0104,Korst-Fagundes,Winter,2024,4.1,4.4,4,4.4,4.3,4,4.2,4,3.7,3.8,3.6,4,4,,126,48,38.1,APS105H1
AE1,APSC,CONCEPT IN CHEMICAL ENGINEER. CHE113H1-S-LEC0101,Allen,Winter,2024,3.7,3.8,4,3.8,3.9,3.5,3.7,4.4,2.8,4.1,3.8,3.9,3.5,,142,73,51.4,CHE113H1
AE1,APSC,DYNAMICS MIE100H1-S-LEC0101,Sullivan,Winter,2024,4.3,4.1,2.8,3.8,3.8,3.3,3.8,3.3,3.4,3.2,3.4,3.6,2.8,,96,28,29.2,MIE100H1
AE1,APSC,DYNAMICS MIE100H1-S-LEC0102,Jazinizadeh,Winter,2024,4.1,4.2,4.3,3.9,4.2,3.7,4.3,4.1,3.5,3.7,3.6,4.5,4.4,,102,38,37.3,MIE100H1
AE1,APSC,DYNAMICS MIE100H1-S-LEC0103,Ho,Winter,2024,4,4,4,3.7,4,3.5,3.9,4.1,3.6,3.7,3.6,4.2,4.1,,96,40,41.7,MIE100H1
AE1,APSC,DYNAMICS MIE100H1-S-LEC0104,Sinclair,Winter,2024,3.9,4,4.3,3.5,3.6,3.5,3.8,4.5,3.7,4,3.5,4.2,4.2,,102,35,34.3,MIE100H1
AE1,APSC,DYNAMICS MIE100H1-S-LEC0105,Sinclair,Winter,2024,3.9,3.9,4.1,3.7,3.9,3.4,3.8,4.6,3.7,4.3,3.4,4.5,4.4,,128,29,22.7,MIE100H1
AE1,APSC,DYNAMICS MIE100H1-S-LEC0106,Embabi,Winter,2024,4,4.1,3.7,4.1,4.2,3.5,4.1,3.5,3.6,3.5,3.6,3.9,3.9,,109,38,34.9,MIE100H1
AE1,APSC,EARTH SYSTEMS SCIENCE CIV185H1-S-LEC0101,Peterson,Winter,2024,3.5,3.7,4.2,4.1,3.8,3.7,3.4,4.4,2.6,3.9,3.8,4,3.4,,123,58,47.2,CIV185H1
AE1,APSC,ELECT.FUNDAMENTALS ECE110H1-S-LEC0101,Liu,Winter,2024,3.5,3.5,3.5,3,3,2.9,3.4,3.5,3.5,3.2,2.8,3.7,3.8,,145,38,26.2,ECE110H1
AE1,APSC,ELECT.FUNDAMENTALS ECE110H1-S-LEC0102,Liu,Winter,2024,3.8,3.6,3.4,3.4,3.5,3,3.4,3.4,3.6,3.1,2.9,3.8,3.8,,133,47,35.3,ECE110H1
AE1,APSC,ELECT.FUNDAMENTALS ECE110H1-S-LEC0103,Bardakjian,Winter,2024,3.6,3.8,2.5,3.2,3.3,2.8,3.3,3.2,3.7,2.8,2.9,2.9,2.6,,105,39,37.1,ECE110H1
AE1,APSC,ELECT.FUNDAMENTALS ECE110H1-S-LEC0104,Wang,Winter,2024,4.2,4.1,4.1,3.7,3.4,3.4,3.7,3.6,3.8,3.4,2.8,3.9,4.3,,123,41,33.3,ECE110H1
AE1,APSC,ELECT.FUNDAMENTALS ECE110H1-S-LEC0105,Yoo,Winter,2024,4.1,4,3.2,3.6,3.5,3.1,3.6,3.5,3.7,3.4,3.4,3.4,3.1,,143,40,28,ECE110H1
AE1,APSC,ELECT.FUNDAMENTALS ECE110H1-S-LEC0106,Mojahedi,Winter,2024,4.3,4.1,4,3.8,3.6,3.5,3.9,3.8,3.6,3.8,3.4,4.1,3.9,,137,50,36.5,ECE110H1
AE1,APSC,ENG.STRATEGIES  PRACTICE II APS112H1-S-LEC0101,Khan,Winter,2024,3,3.1,3.1,3.3,3.3,2.7,3.2,3,4.2,2.8,3.1,3,3.2,,328,148,45.1,APS112H1
AE1,APSC,ENG.STRATEGIES  PRACTICE II APS112H1-S-LEC0101,Runke,Winter,2024,3,3.1,3.2,3.3,3.3,2.7,3.2,3.1,4.2,2.9,3.1,3.1,3.2,,328,148,45.1,APS112H1
AE1,APSC,ENG.STRATEGIES  PRACTICE II APS112H1-S-LEC0102,Khan,Winter,2024,3.4,3.6,3.5,3.6,3.6,3.3,3.6,3.5,3.9,3.3,3.5,3.6,3.8,,306,108,35.3,APS112H1
AE1,APSC,ENG.STRATEGIES  PRACTICE II APS112H1-S-LEC0102,Kinsella,Winter,2024,3.4,3.6,4,3.6,3.6,3.3,3.6,3.9,3.9,3.7,3.5,3.9,4,,306,108,35.3,APS112H1
AE1,APSC,ENG.STRATEGIES  PRACTICE II APS112H1-S-LEC0102,Nolan,Winter,2024,3.4,3.6,3.8,3.6,3.6,3.3,3.6,3.8,3.9,3.6,3.5,3.9,3.9,,306,108,35.3,APS112H1
AE1,APSC,ENG.STRATEGIES  PRACTICE II APS112H1-S-LEC0103,Khan,Winter,2024,2.9,3.1,3.3,3.2,3.2,2.7,3.2,3.3,4.1,3,3.2,3.3,3.3,,436,136,31.2,APS112H1
AE1,APSC,ENG.STRATEGIES  PRACTICE II APS112H1-S-LEC0103,Nolan,Winter,2024,2.9,3.1,3.5,3.2,3.2,2.7,3.2,3.5,4.1,3.2,3.2,3.4,3.5,,436,136,31.2,APS112H1
AE1,APSC,FUNDAMENT.OF COMPUT. APS106H1-S-LEC0101,Goodfellow,Winter,2024,4.3,4.3,4.4,4.3,4.2,4.1,4.3,4.3,3.4,4.3,3.8,4.4,4.4,,268,118,44,APS106H1
AE1,APSC,FUNDAMENT.OF COMPUT. APS106H1-S-LEC0101,Kinsella,Winter,2024,4.3,4.3,4.5,4.3,4.2,4.1,4.3,4.4,3.4,4.3,3.8,4.4,4.5,,268,118,44,APS106H1
AE1,APSC,FUNDAMENT.OF COMPUT. APS106H1-S-LEC0102,Moosavi,Winter,2024,4.2,4.3,3.8,4.2,3.9,3.6,4.1,4,3.1,3.7,3.1,4,4.2,,110,43,39.1,APS106H1
AE1,APSC,FUNDAMENT.OF COMPUT. APS106H1-S-LEC0103,Beck,Winter,2024,4.2,4.3,4.2,4.2,4.1,3.9,4.2,4.2,3.1,3.8,3.3,4.3,4.4,,109,46,42.2,APS106H1
AE1,APSC,INTRO CHEM MATLS PERSPECTIVE APS164H1-S-LEC0101,van den Berg,Winter,2024,3.1,3.5,3.3,3.6,3.7,3,3.7,3.3,2.6,3,3.9,4,4,,21,7,33.3,APS164H1
AE1,APSC,INTRO TO CHEM ENG.  APP. CHEM CHE191H1-S-LEC0101,Bender,Winter,2024,3,3.6,3,3.1,3.3,3.3,2.6,4,1.5,3.8,2.9,3.7,3.7,,141,63,44.7,CHE191H1
AE1,APSC,INTRO TO CIVIL ENG. CIV191H1-S-LEC0101,Bentz,Winter,2024,4.1,4.4,4.7,3.9,4,4.5,3.2,4.8,1.7,4.4,3.3,4.8,4.8,,120,53,44.2,CIV191H1
AE1,APSC,INTRO TO MECH. INDUST. ENG. MIE191H1-S-LEC0101,Olechowski,Winter,2024,3.6,4,4.5,3.5,3.5,4,3.2,4.6,1.7,4.2,3.2,4.5,4.6,,232,68,29.3,MIE191H1
AE1,APSC,INTRO TO MINERAL ENGINEERING MIN191H1-S-LEC0101,Harrison,Winter,2024,4,4.6,4.6,3.8,3.9,4.4,3.3,4.6,1.5,3.9,3.7,4.4,4.4,,27,18,66.7,MIN191H1
AE1,APSC,INTRO.TO ELEC. COMP.ENG./SEM ECE191H1-S-LEC0101,Wang,Winter,2024,3.4,3.7,4,3.3,3.3,3.5,3.1,4.2,1.5,4,3.1,3.9,4,,339,91,26.8,ECE191H1
AE1,APSC,MATERIALS ENG PROC. AND APP. MSE120H1-S-LEC0101,Howe,Winter,2024,3.9,3.9,3.8,3.8,4,3.3,3.7,4.1,3,3.6,3.8,3.8,3.2,,74,39,52.7,MSE120H1
AE1,APSC,MECHANICS CIV100H1-S-LEC0101,Seica,Winter,2024,3.9,4.1,3.8,3.8,3.9,3.4,3.9,3.5,3.7,3.5,3.5,4.1,4.1,,141,37,26.2,CIV100H1
AE1,APSC,MINERAL ENGINEERING MIN120H1-S-LEC0101,Williams,Winter,2024,3.9,4.4,4.4,4.3,4,3.8,3.9,4.5,2.8,3.6,4.1,4.2,4.4,,28,20,71.4,MIN120H1
AE1,APSC,PHYSICAL CHEMISTRY CHE112H1-S-LEC0101,Kirk,Winter,2024,3.7,3.6,2.5,3.5,3.4,2.8,3.4,3.3,3.7,3,3.3,3.1,2.7,,274,223,81.4,CHE112H1
AE1,APSC,APP. LINEAR ALGEBRA MAT188H1-F-LEC0101,Ronzon Lavie,Fall,2023,4,3.8,3.3,3.6,3.6,3.2,3.6,3,3.8,3,3.2,3.4,2.9,,156,92,59,MAT188H1
AE1,APSC,APP. LINEAR ALGEBRA MAT188H1-F-LEC0102,Cohen,Fall,2023,4.4,4.3,4.4,3.9,4,3.6,4,4.1,4,4.1,3.6,4.2,4,,131,68,51.9,MAT188H1
AE1,APSC,APP. LINEAR ALGEBRA MAT188H1-F-LEC0104,Chan,Fall,2023,4.3,4.3,4.6,4,3.9,3.8,4,4.3,3.9,3.8,3.4,4.4,4.5,,140,89,63.6,MAT188H1
AE1,APSC,APP. LINEAR ALGEBRA MAT188H1-F-LEC0106,Cohen,Fall,2023,4.3,4.2,4.1,3.7,3.8,3.6,4,3.9,3.8,4.1,3.6,4.1,3.9,,133,80,60.2,MAT188H1
AE1,APSC,APP. LINEAR ALGEBRA MAT188H1-F-LEC0107,Papyan,Fall,2023,4.3,4.3,4.2,3.9,3.9,3.8,4,4,3.7,3.4,3.3,3.8,3.8,,131,77,58.8,MAT188H1
AE1,APSC,APP. LINEAR ALGEBRA MAT188H1-F-LEC0108,McGregor,Fall,2023,4.2,4.2,4.4,3.8,3.8,3.4,3.8,3.9,3.9,3.4,3.4,4.2,4.4,,125,75,60,MAT188H1
AE1,APSC,CALCULUS 1 MAT186H1-F-LEC0101,McGregor,Fall,2023,3.9,3.5,3.5,3.3,3.2,3,3.5,3.6,3.9,3.5,2.9,3.8,3.9,,130,79,60.8,MAT186H1
AE1,APSC,CALCULUS 1 MAT186H1-F-LEC0102,Uppal,Fall,2023,4,4,3.4,3.7,3.6,3.2,3.9,3.4,3.9,3.2,3.3,3.7,3.6,,134,67,50,MAT186H1
AE1,APSC,CALCULUS 1 MAT186H1-F-LEC0103,Palacios Armesto,Fall,2023,3.7,3.6,3.4,3,3.1,3,3.5,3.2,3.6,3.2,3,3.5,3.4,,103,53,51.5,MAT186H1
AE1,APSC,CALCULUS 1 MAT186H1-F-LEC0104,Uppal,Fall,2023,4,3.8,3.5,3.5,3.4,3.1,3.8,3.3,4.1,3.3,3.1,3.8,3.8,,137,84,61.3,MAT186H1
AE1,APSC,CALCULUS 1 MAT186H1-F-LEC0105,Parnell-Hendrickson,Fall,2023,3.8,3.1,3.3,2.7,2.8,2.5,3,3.3,3.9,3.1,2.8,3.7,3.4,,120,78,65,MAT186H1
AE1,APSC,CALCULUS 1 MAT186H1-F-LEC0106,Sukmadji,Fall,2023,3.7,3.5,3.7,3.4,3.3,3,3.4,3.5,3.8,3.3,3,3.8,3.8,,121,68,56.2,MAT186H1
AE1,APSC,CALCULUS 1 MAT186H1-F-LEC0107,Parnell-Hendrickson,Fall,2023,3.5,3.4,3.4,3,3,2.7,3.5,3.4,3.8,3.1,2.8,3.9,3.8,,119,83,69.7,MAT186H1
AE1,APSC,CALCULUS 1 MAT186H1-F-LEC0108,Morgan,Fall,2023,3.8,3.6,3.1,3.4,3.3,2.7,3.4,3.6,3.7,3.2,2.9,3.4,3,,107,63,58.9,MAT186H1
AE1,APSC,CALCULUS FOR ENGINEERS II APS163H1-F-LEC0101,Cohen,Fall,2023,4.3,4.2,3.9,4.1,4,3.4,4.1,4.3,4.1,4.4,3.6,4.2,3.6,,56,36,64.3,APS163H1
AE1,APSC,ENG.CHEMISTRY  MATERIALS SCI. APS110H1-F-LEC0101,Ramsay,Fall,2023,4.3,4.4,4.8,4.3,4.4,4.3,4,4.6,2.7,4.2,3.8,4.6,4.8,,382,198,51.8,APS110H1
AE1,APSC,ENG.CHEMISTRY  MATERIALS SCI. APS110H1-F-LEC0102,Gu,Fall,2023,3.9,4.2,4.1,4,4.2,3.9,3.8,4.1,2.8,3.8,3.7,4.1,4.1,,323,156,48.3,APS110H1
AE1,APSC,ENG.CHEMISTRY  MATERIALS SCI. APS110H1-F-LEC0103,Jia,Fall,2023,3.9,4.2,3.8,4,4.1,3.8,3.7,3.8,2.6,3.4,3.5,3.9,3.7,,311,167,53.7,APS110H1
AE1,APSC,ENG.STRATEGIES  PRACTICE I APS111H1-F-LEC0101,McCahan,Fall,2023,2.8,3,3.2,3.3,3.4,2.7,3.1,3.6,3.7,3.1,3.1,3.4,3.4,,380,192,50.5,APS111H1
AE1,APSC,ENG.STRATEGIES  PRACTICE I APS111H1-F-LEC0101,Nolan,Fall,2023,2.8,3,3.1,3.3,3.4,2.7,3.1,3.3,3.7,3,3.1,3.3,3.2,,380,192,50.5,APS111H1
AE1,APSC,ENG.STRATEGIES  PRACTICE I APS111H1-F-LEC0102,Nolan,Fall,2023,3,3.2,3.3,3.3,3.3,2.6,3.2,3.5,4,3.1,3,3.4,3.4,,343,181,52.8,APS111H1
AE1,APSC,ENG.STRATEGIES  PRACTICE I APS111H1-F-LEC0103,Kinsella,Fall,2023,3.2,3.5,4.2,3.5,3.6,3.1,3.6,4.2,3.9,3.7,3.4,4.1,4.2,,365,200,54.8,APS111H1
AE1,APSC,ENG.STRATEGIES  PRACTICE I APS111H1-F-LEC0103,Runke,Fall,2023,3.2,3.5,3.4,3.5,3.6,3.1,3.6,3.5,3.9,3.2,3.4,3.5,3.6,,365,200,54.8,APS111H1
AE1,APSC,INTRO CHEM MATLS PERSPECTIVE APS164H1-F-LEC0101,Ramsay,Fall,2023,4.1,4.4,4.8,4.1,4.3,4.5,4.1,4.5,2.8,4.3,3.9,4.5,4.8,,24,16,66.7,APS164H1
AE1,APSC,MECHANICS APS160H1-F-LEC0101,Seica,Fall,2023,3.8,4,3.6,3.9,3.8,3.4,3.9,3.4,4,3.3,3.4,3.9,4.1,,115,53,46.1,APS160H1
AE1,APSC,MECHANICS CIV100H1-F-LEC0101,Mohamed,Fall,2023,4.2,4.3,4.7,4.2,4.1,3.9,4.2,4.3,3.5,4,3.7,4.5,4.5,,146,94,64.4,CIV100H1
AE1,APSC,MECHANICS CIV100H1-F-LEC0102,Mercan,Fall,2023,4.2,4.3,4.2,4.3,4.3,3.7,4.2,4.1,3.7,3.8,4,4.3,4.2,,146,78,53.4,CIV100H1
AE1,APSC,MECHANICS CIV100H1-F-LEC0103,El-Diraby,Fall,2023,4.3,4.3,4.4,4.1,4.1,3.7,4.3,4.2,3.5,3.6,3.5,4.3,4.1,,119,60,50.4,CIV100H1
AE1,APSC,MECHANICS CIV100H1-F-LEC0104,Panesar,Fall,2023,4.2,4.2,4.4,4.2,4,3.9,4.1,4.1,3.6,3.7,3.8,4.3,4.2,,139,78,56.1,CIV100H1
AE1,APSC,MECHANICS CIV100H1-F-LEC0105,Seica,Fall,2023,4,3.9,3.5,4,4,3.3,3.9,3.5,3.7,3.3,3.4,3.7,3.6,,99,48,48.5,CIV100H1
AE1,APSC,MECHANICS CIV100H1-F-LEC0107,Saxe,Fall,2023,4.6,4.5,4.7,4.3,4.1,4.2,4.4,4.4,3.7,4.1,3.9,4.6,4.7,,116,71,61.2,CIV100H1
AE1,APSC,MECHANICS CIV100H1-F-LEC0108,Seica,Fall,2023,4.1,4,3.5,4,3.8,3.3,3.9,3.5,3.7,3.4,3.4,3.8,3.8,,111,53,47.7,CIV100H1
AE1,APSC,ORIENTATION TO ENGINEERING APS100H1-F-LEC0101,Burke,Fall,2023,2.4,2.8,3.1,2.7,2.8,2.6,2.5,3.3,2.4,3.2,2.5,3.2,3.3,,376,177,47.1,APS100H1
AE1,APSC,ORIENTATION TO ENGINEERING APS100H1-F-LEC0101,Kilkenny Rocheleau,Fall,2023,2.4,2.8,3,2.7,2.8,2.6,2.5,3.2,2.4,3.2,2.5,3.2,3.3,,376,177,47.1,APS100H1
AE1,APSC,ORIENTATION TO ENGINEERING APS100H1-F-LEC0101,Weiss,Fall,2023,2.4,2.8,2.7,2.7,2.8,2.6,2.5,3,2.4,3,2.5,3,3.1,,376,177,47.1,APS100H1
AE1,APSC,ORIENTATION TO ENGINEERING APS100H1-F-LEC0102,Burke,Fall,2023,2.5,2.9,3.4,2.7,2.7,2.7,2.6,3.4,2.4,3.1,2.4,3.2,3.4,,346,167,48.3,APS100H1
AE1,APSC,ORIENTATION TO ENGINEERING APS100H1-F-LEC0102,Kilkenny Rocheleau,Fall,2023,2.5,2.9,3.2,2.7,2.7,2.7,2.6,3.3,2.4,3.1,2.4,3.2,3.3,,346,167,48.3,APS100H1
AE1,APSC,ORIENTATION TO ENGINEERING APS100H1-F-LEC0102,Weiss,Fall,2023,2.5,2.9,3.1,2.7,2.7,2.7,2.6,3.3,2.4,3.1,2.4,3.2,3.3,,346,167,48.3,APS100H1
AE1,APSC,ORIENTATION TO ENGINEERING APS100H1-F-LEC0103,Burke,Fall,2023,2.4,2.9,3.5,2.7,2.7,2.5,2.4,3.5,2.4,3.4,2.4,3.3,3.5,,370,192,51.9,APS100H1
AE1,APSC,ORIENTATION TO ENGINEERING APS100H1-F-LEC0103,Kilkenny Rocheleau,Fall,2023,2.4,2.9,3.1,2.7,2.7,2.5,2.4,3.3,2.4,3.2,2.4,3.2,3.5,,370,192,51.9,APS100H1
AE1,APSC,ORIENTATION TO ENGINEERING APS100H1-F-LEC0103,Weiss,Fall,2023,2.4,2.9,3,2.7,2.7,2.5,2.4,3.2,2.4,3.1,2.4,3.2,3.4,,370,192,51.9,APS100H1
AE1,APSC,COMPUTER FUNDAMENTAL APS105H1-F-LEC0101,Shakiba,Summer,2023,4.6,4.4,4.8,4.4,4.4,4.1,4.6,4.3,3.1,4,3,4.6,4.8,,35,9,25.7,APS105H1
AE1,APSC,FUNDAMENT.OF COMPUT. APS106H1-F-LEC0101,Kinsella,Summer,2023,4.3,4.4,4.7,4.2,4.1,4,4.2,4.6,3.2,3.9,3.5,4.5,4.5,,92,27,29.3,APS106H1
AE1,APSC,ENG.STRATEGIES  PRACTICE II APS112H1-F-LEC0101,Kinsella,Summer,2023,3.6,4,4.8,4.2,4.4,4.2,3.8,4.8,4.6,4.8,4,4.8,4.8,,34,5,14.7,APS112H1
AE1,APSC,CALCULUS FOR ENGINEERS II APS163H1-F-LEC0101,Kerr,Summer,2023,5,5,5,5,5,5,5,5,3,5,4,5,5,,13,1,7.7,APS163H1
AE1,APSC,ELECT.FUNDAMENTALS ECE110H1-F-LEC0101,Phang,Summer,2023,4,4.2,4,3.8,3.8,2.9,3.3,4,3.4,3.1,2.4,4.2,3.3,,74,10,13.5,ECE110H1
AE1,APSC,CALCULUS 2 MAT187H1-F-LEC0101,Resch,Summer,2023,4.8,4.6,5,4.8,4.7,4.5,4.6,4.9,3.2,4.8,4.3,4.9,4.9,,73,20,27.4,MAT187H1
AE1,APSC,CALCULUS FOR ENGINEERS I APS162H1-S-TUT0101,Kerr,Summer,2023,3.9,4,4.2,4.1,4.2,3.7,3.7,3.5,3.4,3,3.1,4.3,4.4,,121,47,38.8,APS162H1
AE1,APSC,APP. LINEAR ALGEBRA MAT188H1-S-LEC0101,Zabanfahm,Winter,2023,4,3.8,4,4,4.2,3.4,3.7,3.8,3.2,3.7,4,4.1,3.9,,83,14,16.9,MAT188H1
AE1,APSC,CALCULUS 1 MAT186H1-S-LEC0101,Resch,Winter,2023,4.5,4.5,4.8,4.5,4.4,4.5,4.4,4.6,3.1,4.3,4,4.5,4.7,,70,24,34.3,MAT186H1
AE1,APSC,CALCULUS 2 MAT187H1-S-LEC0101,Parnell-Hendrickson,Winter,2023,4,4.1,4.1,3.9,4,3.4,3.9,3.9,3.6,3.7,3.1,3.9,4.1,,187,55,29.4,MAT187H1
AE1,APSC,CALCULUS 2 MAT187H1-S-LEC0101,Palacios Armesto,Winter,2023,4,4.1,2.9,3.9,4,3.4,3.9,3,3.6,3.1,3.1,3.2,2.8,,187,55,29.4,MAT187H1
AE1,APSC,CALCULUS 2 MAT187H1-S-LEC0102,Parnell-Hendrickson,Winter,2023,4.2,4.3,4.3,4,3.9,3.7,3.9,4.1,3.2,3.9,3.3,4.1,4.3,,242,68,28.1,MAT187H1
AE1,APSC,CALCULUS 2 MAT187H1-S-LEC0103,Karimian Pour,Winter,2023,4.3,4.4,4.5,4.1,4.1,3.8,4.1,4.1,3.2,4.1,3.4,4.3,4.4,,386,79,20.5,MAT187H1
AE1,APSC,CALCULUS 2 MAT187H1-S-LEC0103,McGregor,Winter,2023,4.3,4.4,4.5,4.1,4.1,3.8,4.1,4.1,3.2,4.1,3.4,4.3,4.5,,386,79,20.5,MAT187H1
AE1,APSC,COMPUTER FUNDAMENTAL APS105H1-S-LEC0101,Shakiba,Winter,2023,4.6,4.7,4.8,4.4,4.4,4.2,4.5,4.1,3.5,3.9,3.3,4.8,4.7,,101,22,21.8,APS105H1
AE1,APSC,COMPUTER FUNDAMENTAL APS105H1-S-LEC0102,Emara,Winter,2023,4.7,4.9,4.9,4.4,4.5,4.5,4.6,4.5,3.8,4.1,3.8,4.9,4.9,,99,38,38.4,APS105H1
AE1,APSC,COMPUTER FUNDAMENTAL APS105H1-S-LEC0103,Korst-Fagundes,Winter,2023,4.6,4.5,4.8,4.6,4.5,4.1,4.3,4.5,3.6,4,3.7,4.5,4.7,,142,25,17.6,APS105H1
AE1,APSC,COMPUTER FUNDAMENTAL APS105H1-S-LEC0104,Anderson,Winter,2023,4,4.3,4.1,4.4,4.1,3.3,4.1,3.8,4.1,3.3,2.6,4,4,,93,10,10.8,APS105H1
AE1,APSC,CONCEPT IN CHEMICAL ENGINEER. CHE113H1-S-LEC0101,Passeport,Winter,2023,4.1,4.3,4.7,3.8,4,3.8,4,4.6,2.7,4.5,3.7,4.2,4.2,,121,62,51.2,CHE113H1
AE1,APSC,DYNAMICS MIE100H1-S-LEC0101,Sullivan,Winter,2023,4.2,3.9,2.8,3.3,3.5,2.8,3.6,2.9,3.7,2.9,3,3.4,2.7,,146,32,21.9,MIE100H1
AE1,APSC,DYNAMICS MIE100H1-S-LEC0104,Sinclair,Winter,2023,4.3,4.1,4.2,3.4,3.6,3.3,3.9,4.8,3.6,4.5,3.3,4.4,4.4,,88,22,25,MIE100H1
AE1,APSC,DYNAMICS MIE100H1-S-LEC0105,Sinclair,Winter,2023,3.5,3.4,3.9,3.3,3.5,2.9,3.4,4.2,3.5,3.6,2.9,4,4,,122,21,17.2,MIE100H1
AE1,APSC,DYNAMICS MIE100H1-S-LEC0106,Young,Winter,2023,4.1,4.1,4.6,3.6,3.5,3.7,3.9,4.3,3.8,4.3,3.5,4.4,4.5,,74,15,20.3,MIE100H1
AE1,APSC,EARTH SYSTEMS SCIENCE CIV185H1-S-LEC0101,Peterson,Winter,2023,3.6,3.9,4.1,4.1,3.9,3.6,3.6,4.5,2.4,3.7,3.7,4,3.4,,90,29,32.2,CIV185H1
AE1,APSC,ELECT.FUNDAMENTALS ECE110H1-S-LEC0101,Liu,Winter,2023,3.7,3.9,4.1,3.8,3.8,3.4,3.6,4.3,3.6,3.5,3.1,4.3,4.5,,134,31,23.1,ECE110H1
AE1,APSC,ELECT.FUNDAMENTALS ECE110H1-S-LEC0102,Liu,Winter,2023,4,3.7,3.7,3.6,3.6,3,3.5,3.9,3.7,3.6,3.4,4.1,4,,125,22,17.6,ECE110H1
AE1,APSC,ELECT.FUNDAMENTALS ECE110H1-S-LEC0103,Bardakjian,Winter,2023,3.9,3.9,3,3.4,3.4,3.1,3.6,3.8,3.5,3.5,2.9,3.6,3.2,,92,16,17.4,ECE110H1
AE1,APSC,ELECT.FUNDAMENTALS ECE110H1-S-LEC0104,Wang,Winter,2023,4.4,4.6,4.7,4.1,4.2,4,4.2,4.1,3.2,3.9,3.5,4.5,4.6,,111,22,19.8,ECE110H1
