Division,Dept,INS1,INS2,INS3,INS4,INS5,INS6,ARTSC1,ARTSC2,ARTSC3,APSC001,APSC002,APSC003,APSC004,APSC005,APSC006,APSC007,APSC008,Course Workload,I would recommend this course,I attended class,Inspired to learn subject matter,UTSC1,UTSC2,UTSC3
APSC,AE1,3.520481692273871,3.67657490412565,3.7071008085199932,3.6176701922372305,3.6013483475414643,3.238347297198271,0.0,0.0,0.0,3.5262536945211167,3.716866557561249,3.3858936466450085,3.416102005422702,3.251867412491756,3.7487090549353916,3.518280856884633,0.38789662668848773,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APSC,APSC,3.3185182908084845,3.5054411312634493,3.584106978173993,3.492407008914848,3.4793728865662463,3.1496895173685826,0.0,0.0,0.0,3.4253304641869042,3.6063879495849984,3.3379649554257607,3.3572640639409776,3.1738518290808484,3.6499292960344296,3.555997540731632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APSC,BME,4.131165311653116,4.27289972899729,4.042818428184281,3.837669376693767,3.7823848238482385,3.61869918699187,0.0,0.0,0.0,3.5658536585365854,4.4514905149051485,3.2149051490514906,3.638211382113821,3.2788617886178866,4.010027100271003,3.6940379403794035,0.491869918699187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APSC,CDP,3.8685817961899,4.080828545509525,4.18229513153916,3.839537345025703,3.8631841548231023,3.7243423042032053,0.0,0.0,0.0,3.5566979135167824,4.191109767160569,3.477895373450257,3.489416389476867,3.3732385848200783,4.070229815542788,3.8465830057453885,0.40157242213486544,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APSC,CHE,3.697716934168741,3.814960089262724,3.724658827568449,3.6625697365033045,3.6725345463908674,3.3661917431980086,0.0,0.0,0.0,3.587546133379109,3.8758132349154577,3.3207535833834005,3.5468715131748345,3.2656338511715735,3.7600806797699766,3.578971762080508,0.23119045575487082,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APSC,CIVIL,3.7162160570183187,3.921193379277847,3.849219532308417,3.8285032691288214,3.791453142486894,3.4768687047181484,0.0,0.0,0.0,3.5817989044000704,4.017011250515403,3.4331919656005185,3.4739588855510397,3.3668551569770866,3.9046474642162923,3.6670083053543028,0.2965070389350298,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APSC,CSC,4.0,4.4,4.5,4.1,4.1,4.1,0.0,0.0,0.0,4.0,4.6,3.7,3.8,4.1,4.5,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APSC,ECE,3.94713260961295,4.030733821780659,3.918742567800836,3.799041006559515,3.7478384287851467,3.5456020560819366,0.0,0.0,0.0,3.7609114273658366,3.923253672944877,3.0630020330660934,3.6363880471057577,3.3000997353178105,3.940929840039894,3.718596800797883,0.3818366642372166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APSC,ECP,4.1522336769759445,4.312714776632302,4.556357388316152,4.200687285223368,4.23127147766323,4.249828178694158,0.0,0.0,0.0,3.723367697594502,4.09553264604811,4.019931271477663,3.8312714776632304,4.245704467353952,4.205841924398626,4.410309278350516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APSC,ESC,3.7096791471128343,3.801430830442767,3.756871046725158,3.6597582126096713,3.6336206896551726,3.320393797184248,0.0,0.0,0.0,3.6102606610895736,3.7795960008161598,3.0321975107120993,3.403736482350541,3.193756376249745,3.7239925525402975,3.5800703937971843,0.3889129769434809,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APSC,ISTEP,4.319679144385026,4.410695187165776,4.684491978609626,4.377967914438503,4.37903743315508,4.34951871657754,0.0,0.0,0.0,3.9023529411764706,4.287700534759359,2.872085561497326,3.7640641711229947,4.120748663101605,4.503529411764706,3.852620320855615,1.2864171122994652,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APSC,LME,3.7708154506437768,3.9845493562231757,3.7643776824034334,3.9317596566523605,3.8961373390557936,3.5107296137339055,0.0,0.0,0.0,3.601716738197425,4.060515021459228,3.578969957081545,3.679399141630901,3.2085836909871244,3.834334763948498,3.842918454935622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APSC,MIE,3.7497516704184086,3.9106799585521848,3.7883088576839246,3.769996784221245,3.720909708078751,3.429095651552507,0.0,0.0,0.0,3.6536606281487836,3.9781255582949226,3.217129381498553,3.5270840032872406,3.2284739343266518,3.8647300532390036,3.603151463179333,0.33168613999356844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APSC,MMS,3.750811342402885,3.8719390263891165,3.925143419111621,3.7450254056712016,3.745664645140141,3.4941321094902476,0.0,0.0,0.0,3.5751516144894278,4.094246844779544,3.275840026225209,3.6637600393378134,3.4330929355843303,3.9062120963776428,3.684920504835273,0.24982789706605477,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,AFR,4.733333333333333,4.724,4.836,4.745333333333333,4.784,4.774666666666667,4.811999999999999,3.084,4.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,ANA,4.534216281895504,4.648845686512758,4.335261239368165,4.057083839611179,4.061069258809234,4.135674362089914,3.6768165249088702,4.021117861482382,4.027023086269745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
