Dept,Division,Course,Last Name,First Name,Term,Year,INS1,INS2,INS3,INS4,INS5,INS6,ARTSC1,ARTSC2,ARTSC3,Number Invited,Number Responses
AFR,ARTSC,Africa 21st Century AFR250Y1YLEC0101,B,A,Winter,2024,48,49,49,49,5,49,48,32,48,37,18
AFR,ARTSC,African Sys Thought AFR351Y1YLEC0101,F,E,Winter,2024,46,46,48,47,47,44,48,3,47,24,9
AFR,ARTSC,Intr African Studies AFR150Y1YLEC0101,B,A,Winter,2024,46,48,49,46,47,47,48,27,46,34,10
AFR,ARTSC,Introductory Swahili AFR280Y1YLEC0101,D,C,Winter,2024,44,44,44,45,44,45,45,29,5,38,10
AFR,ARTSC,Peacebuilding in Africa AFR455H1SLEC0101,B,A,Winter,2024,49,48,5,48,49,5,5,33,5,23,11
